"","PA.#","PA.Name","Total.GW.AG","Total.GW.Urban","Total.GW.MW","Total.GW.Use","Total.Supply.AG.(includes.Reuse)","Total.Supply.Urban.(includes.Reuse)","Total.Supply.MW.(includes.Reuse)","Year","Region"
"54",1004,"Colorado River",0.2,9.3,0,9.5,622.8,12.2,0,"2005","Southern California"
"55",1005,"Borrego",13.3,6.3,0,19.6,41,6.7,0,"2005","Southern California"
"56",1006,"Imperial Valley",0,0.1,0,0.1,2518.3,115.8,30.3,"2005","Southern California"
"57",101,"Upper Klamath",197.7,7.4,2.4,207.5,588.1,11.3,329.9,"2006",NA
"58",102,"Lower Klamath",7.7,6,0,13.7,28.4,12.6,0,"2006",NA
"59",103,"Coastal",74.9,18.2,0,93.1,96.9,48.8,0,"2006",NA
"60",104,"Russian River",50.6,23,0,73.6,77.3,68.3,0,"2006",NA
"61",201,"North Bay",57.6,16.7,0,74.3,80,146.6,0.7,"2006","San Francisco Bay Area"
"62",202,"South Bay",20.9,151.9,0,172.8,26.1,985.5,0,"2006","San Francisco Bay Area"
"63",301,"Northern",455.8,153.5,0,609.3,500.4,182.9,0.4,"2006","Central Coast"
"64",302,"Southern",249.4,72.3,0,321.7,278.4,131.9,0,"2006","Central Coast"
"65",401,"Santa Clara",193,38.6,0,231.6,243.6,247.2,0,"2006","Southern California"
"66",402,"Metropolitan LA",2.2,679.9,0,682.1,4.2,1822.5,27,"2006","Southern California"
"67",403,"Santa Ana",130.3,626.1,0,756.4,158.2,1399,4.1,"2006","Southern California"
"68",404,"San Diego",38.3,31.5,0,69.8,271.2,825.3,0,"2006","Southern California"
"69",501,"Shasta - Pit",84.1,11.5,0,95.6,338.3,17.3,7.8,"2006","Sacramento River Region"
"70",502,"Upper Northwest Valley",1.3,0.4,0,1.7,6,0.6,0,"2006","Sacramento River Region"
"71",503,"Lower Northwest Valley",208.5,45.1,0,253.6,424.8,57.7,0.1,"2006","Sacramento River Region"
"72",504,"Northeast Valley",170.6,42.1,0,212.7,300.8,81.5,1,"2006","Sacramento River Region"
"73",505,"Southwest",39.6,5.1,0,44.7,49.3,8.4,0,"2006","Sacramento River Region"
"74",506,"Colusa Basin",392.7,13.4,8.8,414.9,1942.2,13.5,156.4,"2006","Sacramento River Region"
"75",507,"Butte - Sutter - Yuba",455.7,49.8,11,516.5,2290.3,70.3,284,"2006","Sacramento River Region"
"76",508,"Southeast",42.8,23.8,0,66.6,318.2,130.5,15.8,"2006","Sacramento River Region"
"77",509,"Central Basin West",434.4,53,0,487.4,765.6,78.5,0,"2006","Sacramento River Region"
"78",510,"Sacramento Delta",18.1,1.5,0,19.6,452,25.6,14.8,"2006","Delta Region"
"79",511,"Central Basin East",188.8,175.5,0,364.3,385.5,470.1,0,"2006","Sacramento River Region"
"80",601,"Upper West Side Uplands",3.1,1.6,0,4.7,27.1,63.3,0,"2006","San Joaquin Valley"
"81",602,"San Joaquin Delta",0.7,41.9,0,42.6,666.4,87.1,1.7,"2006","Delta Region"
"82",603,"Eastern Valley Floor",560.2,60.2,0,620.4,692,119.1,0.8,"2006","Delta Eastside Tributaries"
"83",604,"Sierra Foothills",1.4,2.8,0,4.2,16.2,39.2,0,"2006","Delta Eastside Tributaries"
"84",605,"West Side Uplands",0,0,0,0,0,0,0,"2006","San Joaquin Valley"
"85",606,"Valley West Side",441.6,27.5,136.7,605.8,1512.9,31.9,426.1,"2006","San Joaquin Valley"
"86",607,"Upper Valley East Side",112,94.9,0,206.9,868.7,148.4,13,"2006","San Joaquin Valley"
"87",608,"Middle Valley East Side",213.7,77.9,0,291.6,919.8,77.9,0,"2006","San Joaquin Valley"
"88",609,"Lower Valley East Side",919.8,92.7,8.4,1020.9,2008.5,93,42.2,"2006","San Joaquin Valley"
"89",610,"East Side Uplands",3.3,14.4,0,17.7,3.3,14.8,0,"2006","San Joaquin Valley"
"90",701,"Western Uplands",0.3,1.9,0,2.2,0.3,1.9,0,"2006","San Joaquin Valley"
"91",702,"San Luis West Side",283.6,9.3,0,292.9,1485.6,20.7,0,"2006","San Joaquin Valley"
"92",703,"Lower Kings-Tulare",947.1,41.4,3.6,992.1,1954.3,41.5,29.1,"2006","San Joaquin Valley"
"93",704,"Fresno - Academy",11.9,200.8,0,212.7,499.1,273.4,0,"2006","San Joaquin Valley"
"94",705,"Alta - Orange Cove",158.9,57.8,0,216.7,859.8,59.5,0,"2006","San Joaquin Valley"
"95",706,"Kaweah Delta",849,114.2,3.3,966.5,2213.2,115.8,3.3,"2006","San Joaquin Valley"
"96",707,"Uplands",28.1,14.8,0,42.9,29.6,19,0,"2006","San Joaquin Valley"
"97",708,"Semitropic - Buena Vista",335.3,22.3,22.2,379.8,1190.6,26.1,44,"2006","San Joaquin Valley"
"98",709,"Kern Valley Floor",52.2,33.3,0,85.5,759.5,33.3,0,"2006","San Joaquin Valley"
"99",710,"Kern Delta",317.8,79.3,0,397.1,1457.4,148.6,0,"2006","San Joaquin Valley"
"100",801,"Lassen",115.5,19.3,11.6,146.4,293.6,22.7,23.2,"2006",NA
"101",802,"Alpine",0.5,18.5,0,19,143.2,21.9,0,"2006",NA
"102",901,"Mono-Owens",124.6,11,0,135.6,175,12.2,0,"2006","Southern California"
"103",902,"Indian Wells",9.9,19.3,0,29.2,9.9,19.7,0,"2006","Southern California"
"104",903,"Death Valley",11.4,4.2,0,15.6,11.4,4.2,0,"2006","Southern California"
"105",904,"Antelope Valley",44.5,36.6,0,81.1,86.9,125.3,0,"2006","Southern California"
"106",905,"Mojave River",52.5,97.1,0,149.6,102.2,136.5,0,"2006","Southern California"
"107",1001,"Twenty-Nine Palms - Lanfair",11.4,15,0,26.4,11.4,19.9,0,"2006","Southern California"
"108",1002,"Coachella",17.9,280.1,0,298,267.2,528.1,0,"2006","Southern California"
"109",1003,"Chuckwalla",2.7,2.2,0,4.9,2.7,2.3,0,"2006","Southern California"
"110",1004,"Colorado River",0.5,10.5,0,11,721.3,13.5,0,"2006","Southern California"
"111",1005,"Borrego",16.1,7.3,0,23.4,45.6,8,0,"2006","Southern California"
"112",1006,"Imperial Valley",0,0.1,0,0.1,2793,86.4,30.3,"2006","Southern California"
"113",101,"Upper Klamath",196.9,7.7,2.5,207.1,586.2,11.7,294,"2007",NA
"114",102,"Lower Klamath",8.9,5.6,0,14.5,33.3,11.4,0,"2007",NA
"115",103,"Coastal",76.6,19.4,0,96,99.6,50.8,0,"2007",NA
"116",104,"Russian River",55.35,24.6,0,79.95,87.7,69.5,0,"2007",NA
"117",201,"North Bay",69.6,27.5,0,97.1,90.7,157,1,"2007","San Francisco Bay Area"
"118",202,"South Bay",21.9,148.5,0,170.4,27.4,1009.7,0,"2007","San Francisco Bay Area"
"119",301,"Northern",660.6,160.1,0,820.7,688.3,184.2,0.5,"2007","Central Coast"
"120",302,"Southern",464.6,87.7,0,552.3,501.6,147.2,0,"2007","Central Coast"
"121",401,"Santa Clara",266.9,48.4,0,315.3,335.5,232.7,0,"2007","Southern California"
"122",402,"Metropolitan LA",4.1,683.3,0,687.4,7.6,1781.4,27,"2007","Southern California"
"123",403,"Santa Ana",166.8,564.3,0,731.1,186,1413.2,5.3,"2007","Southern California"
"124",404,"San Diego",45.6,23,0,68.6,304.5,897.9,0,"2007","Southern California"
