"","PA.#","PA.Name","Total.GW.AG","Total.GW.Urban","Total.GW.MW","Total.GW.Use","Total.Supply.AG.(includes.Reuse)","Total.Supply.Urban.(includes.Reuse)","Total.Supply.MW.(includes.Reuse)","Year","Region"
"266",709,"Kern Valley Floor",471.8,32.7,0,504.5,865,32.7,0,"2009","San Joaquin Valley"
"267",710,"Kern Delta",892,120.3,0,1012.3,1364.3,165.7,0,"2009","San Joaquin Valley"
"268",801,"Lassen",125,19.1,11.6,155.7,319.9,22.5,23.9,"2009",NA
"269",802,"Alpine",0.8,19.7,0,20.5,155.5,22.6,0,"2009",NA
"270",901,"Mono-Owens",156,10.8,0,166.8,193.2,11.7,0,"2009","Southern California"
"271",902,"Indian Wells",10.9,19.8,0,30.7,10.9,20,0,"2009","Southern California"
"272",903,"Death Valley",10.6,4,0,14.6,10.6,4,0,"2009","Southern California"
"273",904,"Antelope Valley",56.7,54.7,0,111.4,77.3,119.1,0,"2009","Southern California"
"274",905,"Mojave River",55.6,90.8,0,146.4,95.5,121.9,0,"2009","Southern California"
"275",1001,"Twenty-Nine Palms - Lanfair",11.1,15.4,0,26.5,11.1,17.5,0,"2009","Southern California"
"276",1002,"Coachella",21.2,310.2,0,331.4,277.5,420.8,0,"2009","Southern California"
"277",1003,"Chuckwalla",2.7,2,0,4.7,2.7,2.1,0,"2009","Southern California"
"278",1004,"Colorado River",0.5,11,0,11.5,681.2,14,0,"2009","Southern California"
"279",1005,"Borrego",14.8,8,0,22.8,43.4,8.7,0,"2009","Southern California"
"280",1006,"Imperial Valley",0,0.1,0,0.1,2453.6,88.6,30.3,"2009","Southern California"
"281",101,"Upper Klamath",190.8,6.9,2.5,200.2,570.7,10.9,193.6,"2010",NA
"282",102,"Lower Klamath",5.1,7.7,0,12.8,18.2,11.3,0,"2010",NA
"283",103,"Coastal",39.3,17.3,0,56.6,53.1,47.5,0,"2010",NA
"284",104,"Russian River",40,33.7,0,73.7,61,69.7,0,"2010",NA
"285",201,"North Bay",40.4,29.5,0,69.9,57.4,142,0.9,"2010","San Francisco Bay Area"
"286",202,"South Bay",22.6,146.3,0,168.9,27.3,873.1,0,"2010","San Francisco Bay Area"
"287",301,"Northern",450.4,134.3,0,584.7,512.4,163.3,0.4,"2010","Central Coast"
"288",302,"Southern",335.3,79.4,0,414.7,364.3,138.8,0,"2010","Central Coast"
"289",401,"Santa Clara",240.9,49.3,0,290.2,267.8,274.5,0,"2010","Southern California"
"290",402,"Metropolitan LA",2.7,574.9,0,577.6,5.2,1448.9,27,"2010","Southern California"
"291",403,"Santa Ana",111.9,362.7,0,474.6,134.7,1078.2,5.3,"2010","Southern California"
"292",404,"San Diego",32.4,33.4,0,65.8,236.6,576.5,0,"2010","Southern California"
"293",501,"Shasta - Pit",78.3,11.2,0,89.5,311.2,16.2,8.4,"2010","Sacramento River Region"
"294",502,"Upper Northwest Valley",4.5,0.4,0,4.9,10.4,0.7,0,"2010","Sacramento River Region"
"295",503,"Lower Northwest Valley",192.6,52.6,0,245.2,398.6,64.1,0.2,"2010","Sacramento River Region"
"296",504,"Northeast Valley",134.7,47.9,0,182.6,242.3,85.5,1.2,"2010","Sacramento River Region"
"297",505,"Southwest",47.6,5.9,0,53.5,57.3,10.7,0,"2010","Sacramento River Region"
"298",506,"Colusa Basin",472.5,14,8.9,495.4,1937.3,14,147.9,"2010","Sacramento River Region"
"299",507,"Butte - Sutter - Yuba",487.9,42.3,8.3,538.5,2319.8,64.9,286,"2010","Sacramento River Region"
"300",508,"Southeast",49.2,22.6,0,71.8,295.8,112,2.4,"2010","Sacramento River Region"
"301",509,"Central Basin West",411.9,47.2,0,459.1,736.8,69.2,0,"2010","Sacramento River Region"
"302",510,"Sacramento Delta",17.7,6,0,23.7,478.6,34.9,49.9,"2010","Delta Region"
"303",511,"Central Basin East",191.6,229.2,0,420.8,460.4,416.2,1.8,"2010","Sacramento River Region"
"304",601,"Upper West Side Uplands",1.4,9.7,0,11.1,28.7,81.4,0,"2010","San Joaquin Valley"
"305",602,"San Joaquin Delta",1,44,0,45,702.4,131,1.8,"2010","Delta Region"
"306",603,"Eastern Valley Floor",254,40.2,0,294.2,707.2,95.1,0.8,"2010","Delta Eastside Tributaries"
"307",604,"Sierra Foothills",2.7,2.7,0,5.4,31.4,53.6,0,"2010","Delta Eastside Tributaries"
"308",605,"West Side Uplands",0,0.4,0,0.4,0,0.4,0,"2010","San Joaquin Valley"
"309",606,"Valley West Side",566.2,26.8,189.7,782.7,1612.3,30.2,438.2,"2010","San Joaquin Valley"
"310",607,"Upper Valley East Side",134.4,90.6,0,225,864.3,145.3,12.5,"2010","San Joaquin Valley"
"311",608,"Middle Valley East Side",277.2,66.3,0,343.5,943.1,66.3,0,"2010","San Joaquin Valley"
"312",609,"Lower Valley East Side",880,92,11.8,983.8,1842.9,92.1,43.7,"2010","San Joaquin Valley"
"313",610,"East Side Uplands",3,15.1,0,18.1,3,15.5,0,"2010","San Joaquin Valley"
"314",701,"Western Uplands",0.3,2,0,2.3,0.3,2,0,"2010","San Joaquin Valley"
"315",702,"San Luis West Side",598.7,5.6,0,604.3,1272.7,14.2,0,"2010","San Joaquin Valley"
"316",703,"Lower Kings-Tulare",1300.6,43.1,1.3,1345,1925.7,43.2,27.9,"2010","San Joaquin Valley"
"317",704,"Fresno - Academy",12.5,174.6,0,187.1,494.2,208.9,0,"2010","San Joaquin Valley"
"318",705,"Alta - Orange Cove",302.2,56,0,358.2,875.1,57.9,0,"2010","San Joaquin Valley"
"319",706,"Kaweah Delta",1238.3,106.5,3.2,1348,2543.6,111.5,3.2,"2010","San Joaquin Valley"
"320",707,"Uplands",32.9,13.5,0,46.4,33.4,18.8,0,"2010","San Joaquin Valley"
"321",708,"Semitropic - Buena Vista",648.1,14.8,24.6,687.5,1244.3,25.4,46.4,"2010","San Joaquin Valley"
"322",709,"Kern Valley Floor",285,33.8,0,318.8,844.9,33.8,0,"2010","San Joaquin Valley"
"323",710,"Kern Delta",540.8,98.8,0,639.6,1342.1,152.4,0,"2010","San Joaquin Valley"
"324",801,"Lassen",120.8,19.9,11.6,152.3,306.4,22.4,23.2,"2010",NA
"325",802,"Alpine",0.4,17,0,17.4,153.4,20.4,0,"2010",NA
"326",901,"Mono-Owens",134.5,9.4,0,143.9,185.1,10.4,0,"2010","Southern California"
"327",902,"Indian Wells",10.5,18.6,0,29.1,10.5,18.9,0,"2010","Southern California"
"328",903,"Death Valley",10.1,3.9,0,14,10.1,3.9,0,"2010","Southern California"
"329",904,"Antelope Valley",52.8,33.7,0,86.5,74.5,117.8,0,"2010","Southern California"
"330",905,"Mojave River",53.6,86.3,0,139.9,90.3,128.9,0,"2010","Southern California"
"331",1001,"Twenty-Nine Palms - Lanfair",10.7,14.8,0,25.5,10.7,18.3,0,"2010","Southern California"
"332",1002,"Coachella",23.6,254.1,0,277.7,296.7,555.1,0,"2010","Southern California"
"333",1003,"Chuckwalla",2.4,1.9,0,4.3,2.4,2,0,"2010","Southern California"
"334",1004,"Colorado River",0.1,10.7,0,10.8,585.8,13.7,0,"2010","Southern California"
"335",1005,"Borrego",13.6,6.3,0,19.9,43.3,7,0,"2010","Southern California"
"336",1006,"Imperial Valley",0,0.1,0,0.1,2547.6,84.6,30.3,"2010","Southern California"
"337",101,"Upper Klamath",128,5.2,2.3,135.5,481.3,9,176.1,"2011",NA
"338",102,"Lower Klamath",26.3,7.7,0,34,32.7,11.2,0,"2011",NA
"339",103,"Coastal",73.7,19.6,0,93.3,84.5,26.9,0,"2011",NA
"340",104,"Russian River",65.7,31.6,0,97.3,108.3,91.1,0,"2011",NA
"341",201,"North Bay",69.9,19,0,88.9,87.2,123.3,49.6,"2011","San Francisco Bay Area"
"342",202,"South Bay",5,144.1,0,149.1,15,975.7,0.3,"2011","San Francisco Bay Area"
"343",301,"Northern",487.6,100.5,0,588.1,534.3,124,0.4,"2011","Central Coast"
"344",302,"Southern",352.7,61.9,0,414.6,379.4,120.3,0,"2011","Central Coast"
"345",401,"Santa Clara",264,41.6,0,305.6,312.5,229.2,0,"2011","Southern California"
"346",402,"Metropolitan LA",4.6,408.6,0,413.2,9.2,1470.9,26.9,"2011","Southern California"
"347",403,"Santa Ana",131.9,415,0.2,547.1,147.1,1137.5,6.1,"2011","Southern California"
"348",404,"San Diego",38,47.1,0,85.1,186.4,486.1,0,"2011","Southern California"
"349",501,"Shasta - Pit",56.4,10.6,0.7,67.7,217.6,12.7,11.4,"2011","Sacramento River Region"
"350",502,"Upper Northwest Valley",0.7,0.4,0,1.1,6.4,0.7,0,"2011","Sacramento River Region"
"351",503,"Lower Northwest Valley",228.1,23.6,0,251.7,407.6,33.9,0.6,"2011","Sacramento River Region"
"352",504,"Northeast Valley",180.4,46.3,0,226.7,263.7,78.3,0.9,"2011","Sacramento River Region"
"353",505,"Southwest",44.3,5.2,0,49.5,53.3,10.5,0,"2011","Sacramento River Region"
"354",506,"Colusa Basin",453.9,9.7,7.8,471.4,1839.3,10,152.4,"2011","Sacramento River Region"
"355",507,"Butte - Sutter - Yuba",448.8,40.4,8.1,497.3,2017.5,59.8,274.7,"2011","Sacramento River Region"
"356",508,"Southeast",17.4,15.9,0,33.3,221.4,98,0.4,"2011","Sacramento River Region"
"357",509,"Central Basin West",181.8,42.4,0,224.2,567.1,59,0,"2011","Sacramento River Region"
"358",510,"Sacramento Delta",25.8,3.5,0,29.3,368.8,24.1,45.9,"2011","Delta Region"
"359",511,"Central Basin East",155.1,143.2,0.5,298.8,303.2,391.8,2,"2011","Sacramento River Region"
"360",601,"Upper West Side Uplands",0,2,0,2,15.1,46.9,0,"2011","San Joaquin Valley"
"361",602,"San Joaquin Delta",0,34.2,0,34.2,591,105.7,2.4,"2011","Delta Region"
"362",603,"Eastern Valley Floor",379,44.1,0,423.1,609.4,96.4,18.8,"2011","Delta Eastside Tributaries"
"363",604,"Sierra Foothills",4.9,9,0,13.9,27.3,47.3,0,"2011","Delta Eastside Tributaries"
"364",605,"West Side Uplands",0,0.2,0,0.2,0,0.2,0,"2011","San Joaquin Valley"
"365",606,"Valley West Side",404.4,19.2,142.5,566.1,1487.7,21.5,424.6,"2011","San Joaquin Valley"
"366",607,"Upper Valley East Side",118.7,88.8,4.1,211.6,803.6,130,12,"2011","San Joaquin Valley"
"367",608,"Middle Valley East Side",203.3,48.4,0,251.7,960.4,48.4,0,"2011","San Joaquin Valley"
"368",609,"Lower Valley East Side",879.8,73.6,9.1,962.5,2199.8,73.8,42.4,"2011","San Joaquin Valley"
"369",610,"East Side Uplands",3.9,10.6,0,14.5,3.9,11,0,"2011","San Joaquin Valley"
"370",701,"Western Uplands",0,1.6,0,1.6,0,1.6,0,"2011","San Joaquin Valley"
"371",702,"San Luis West Side",490.9,3.8,0,494.7,1546.1,12.6,0,"2011","San Joaquin Valley"
"372",703,"Lower Kings-Tulare",1165.7,31.9,0,1197.6,2123.8,32,30.4,"2011","San Joaquin Valley"
"373",704,"Fresno - Academy",11.4,116,0,127.4,726.4,183.8,0,"2011","San Joaquin Valley"
"374",705,"Alta - Orange Cove",211.2,42.6,0,253.8,1026,44.4,0,"2011","San Joaquin Valley"
"375",706,"Kaweah Delta",701.1,87.5,3.3,791.9,2289.2,89.1,3.3,"2011","San Joaquin Valley"
"376",707,"Uplands",15.1,9.7,0,24.8,17,14,0,"2011","San Joaquin Valley"
"377",708,"Semitropic - Buena Vista",458.5,22,22.4,502.9,1310.3,24.4,51.1,"2011","San Joaquin Valley"
"378",709,"Kern Valley Floor",18.7,28.9,0,47.6,827.8,28.9,0,"2011","San Joaquin Valley"
"379",710,"Kern Delta",260.8,67.3,0,328.1,1673.9,138.7,0,"2011","San Joaquin Valley"
"380",801,"Lassen",52.6,6.8,6,65.4,174.3,9.4,14.2,"2011",NA
"381",802,"Alpine",1.8,16,0,17.8,94.1,20.4,0,"2011",NA
"382",901,"Mono-Owens",121.3,10.8,0,132.1,161.3,11.8,0,"2011","Southern California"
"383",902,"Indian Wells",9,16.2,0,25.2,9,16.7,0,"2011","Southern California"
"384",903,"Death Valley",12.3,4,0,16.3,12.3,4,0,"2011","Southern California"
"385",904,"Antelope Valley",30.6,15.9,0,46.5,51.6,98,0,"2011","Southern California"
"386",905,"Mojave River",77.2,76.3,0,153.5,85.4,85.9,0,"2011","Southern California"
"387",1001,"Twenty-Nine Palms - Lanfair",12.3,15.6,0,27.9,12.3,18.5,0,"2011","Southern California"
"388",1002,"Coachella",20,227.5,0,247.5,340.9,359.5,0,"2011","Southern California"
"389",1003,"Chuckwalla",3.6,2.2,0,5.8,3.6,2.3,0,"2011","Southern California"
"390",1004,"Colorado River",2.1,11.5,0,13.6,555,12.7,0,"2011","Southern California"
"391",1005,"Borrego",15.7,6.6,0,22.3,51.3,7.2,0,"2011","Southern California"
"392",1006,"Imperial Valley",0,0.1,0,0.1,2344.6,62.1,44.4,"2011","Southern California"
"393",101,"Upper Klamath",165.5,5.9,2.3,173.7,514.1,9.7,168.7,"2012",NA
"394",102,"Lower Klamath",26.6,7.5,0,34.1,33.9,10.3,0,"2012",NA
"395",103,"Coastal",77.1,17.1,0,94.2,89.2,24,0,"2012",NA
"396",104,"Russian River",74.4,32.3,0,106.7,123.7,95.3,0,"2012",NA
"397",201,"North Bay",63.8,20.7,0,84.5,110.2,134.1,56.8,"2012","San Francisco Bay Area"
"398",202,"South Bay",16.2,178.6,0,194.8,29.4,1016.8,0.3,"2012","San Francisco Bay Area"
"399",301,"Northern",536.4,112,0,648.4,584.5,130.8,0,"2012","Central Coast"
"400",302,"Southern",390.2,72.1,0,462.3,413.9,139.5,0,"2012","Central Coast"
"401",401,"Santa Clara",242.8,70.7,0,313.5,289,256.8,0,"2012","Southern California"
"402",402,"Metropolitan LA",2.8,527.7,0,530.5,5.1,1455.7,29.3,"2012","Southern California"
"403",403,"Santa Ana",150.6,430.3,0.2,581.1,165.1,1219.6,6.1,"2012","Southern California"
"404",404,"San Diego",36.9,22.3,0,59.2,220.2,646.1,0,"2012","Southern California"
"405",501,"Shasta - Pit",71.8,11.1,0.7,83.6,271.9,13.2,13.5,"2012","Sacramento River Region"
"406",502,"Upper Northwest Valley",1,0.4,0,1.4,10.3,0.7,0,"2012","Sacramento River Region"
"407",503,"Lower Northwest Valley",298.6,23.2,0,321.8,524.8,34.5,0.6,"2012","Sacramento River Region"
"408",504,"Northeast Valley",202.9,48.1,0,251,303.7,83.1,1.1,"2012","Sacramento River Region"
"409",505,"Southwest",58.1,5,0,63.1,71.8,10.4,0,"2012","Sacramento River Region"
"410",506,"Colusa Basin",521.3,10.6,8.8,540.7,2003.4,10.9,159.1,"2012","Sacramento River Region"
"411",507,"Butte - Sutter - Yuba",522.3,40.7,8.3,571.3,2116.5,61.2,299.2,"2012","Sacramento River Region"
"412",508,"Southeast",22.1,20.9,0,43,271.6,108.1,0.4,"2012","Sacramento River Region"
"413",509,"Central Basin West",210.7,46,0,256.7,669.6,63.9,0,"2012","Sacramento River Region"
"414",510,"Sacramento Delta",67.7,2.7,0,70.4,445,25.5,48.8,"2012","Delta Region"
"415",511,"Central Basin East",187.5,165.5,0.5,353.5,373.4,414.8,2.1,"2012","Sacramento River Region"
"416",601,"Upper West Side Uplands",0,1,0,1,20.4,59.6,0,"2012","San Joaquin Valley"
"417",602,"San Joaquin Delta",0,27.9,0,27.9,757.9,114.1,2.5,"2012","Delta Region"
"418",603,"Eastern Valley Floor",733.8,39.9,0,773.7,949.7,99.2,17,"2012","Delta Eastside Tributaries"
"419",604,"Sierra Foothills",6.2,11,0,17.2,34.5,51.4,0,"2012","Delta Eastside Tributaries"
"420",605,"West Side Uplands",0,0,0,0,0,1.3,0,"2012","San Joaquin Valley"
"421",606,"Valley West Side",524.6,22.3,185.1,732,1695.2,24.6,451.9,"2012","San Joaquin Valley"
"422",607,"Upper Valley East Side",158.8,82,0,240.8,906.3,128.4,12.8,"2012","San Joaquin Valley"
"423",608,"Middle Valley East Side",296.3,50.2,0,346.5,998.7,50.2,0,"2012","San Joaquin Valley"
"424",609,"Lower Valley East Side",1308.9,85,11.8,1405.7,2213.6,85.1,45.3,"2012","San Joaquin Valley"
"425",610,"East Side Uplands",4.1,10,0,14.1,4.1,10.6,0,"2012","San Joaquin Valley"
"426",701,"Western Uplands",0,1.7,0,1.7,0,1.7,0,"2012","San Joaquin Valley"
"427",702,"San Luis West Side",765.4,3.9,0,769.3,1616.4,13.4,0,"2012","San Joaquin Valley"
"428",703,"Lower Kings-Tulare",1883.9,35.6,0,1919.5,2430.2,35.7,31.8,"2012","San Joaquin Valley"
"429",704,"Fresno - Academy",225.3,137.3,0,362.6,623.3,187.6,0,"2012","San Joaquin Valley"
"430",705,"Alta - Orange Cove",759.2,44,0,803.2,1176,46,0,"2012","San Joaquin Valley"
"431",706,"Kaweah Delta",1852.1,84.4,3.4,1939.9,2640.8,87.2,3.4,"2012","San Joaquin Valley"
"432",707,"Uplands",32.8,14.8,0,47.6,35.1,14.8,0,"2012","San Joaquin Valley"
"433",708,"Semitropic - Buena Vista",664.6,23.5,42.7,730.8,1220.4,33.8,57.6,"2012","San Joaquin Valley"
"434",709,"Kern Valley Floor",427.7,29.7,0,457.4,920.9,29.7,0,"2012","San Joaquin Valley"
"435",710,"Kern Delta",688.8,117.9,0,806.7,1387.9,149.5,0,"2012","San Joaquin Valley"
"436",801,"Lassen",58.4,6.7,6.2,71.3,188.4,9.2,17.2,"2012",NA
"437",802,"Alpine",2.5,16.7,0,19.2,113.4,22.4,0,"2012",NA
"438",901,"Mono-Owens",129.1,10.8,0,139.9,168.1,11.8,0,"2012","Southern California"
"439",902,"Indian Wells",10.2,16.2,0,26.4,10.2,16.8,0,"2012","Southern California"
"440",903,"Death Valley",12.7,4.1,0,16.8,12.7,4.1,0,"2012","Southern California"
"441",904,"Antelope Valley",36,17.1,0,53.1,62.8,106.5,0,"2012","Southern California"
"442",905,"Mojave River",80,82.8,0,162.8,87.9,100,0,"2012","Southern California"
"443",1001,"Twenty-Nine Palms - Lanfair",12.6,15,0,27.6,12.6,17.5,0,"2012","Southern California"
"444",1002,"Coachella",20,303.3,0,323.3,346.7,472.5,0,"2012","Southern California"
"445",1003,"Chuckwalla",3.6,2.1,0,5.7,3.6,2.2,0,"2012","Southern California"
"446",1004,"Colorado River",0,11.8,0,11.8,623,13,0,"2012","Southern California"
"447",1005,"Borrego",15.8,5.2,0,21,45,7.9,0,"2012","Southern California"
"448",1006,"Imperial Valley",0,0.1,0,0.1,2790.8,63.6,44.4,"2012","Southern California"
"449",101,"Upper Klamath",161.4,5.7,2.3,169.4,491.2,9.6,135.1,"2013",NA
"450",102,"Lower Klamath",28.9,7.6,0,36.5,36.6,10.4,0,"2013",NA
"451",103,"Coastal",90.9,18.3,0,109.2,102.7,25.5,0,"2013",NA
"452",104,"Russian River",74.8,35.1,0,109.9,121.5,102.7,0,"2013",NA
"453",201,"North Bay",81.7,15.6,0,97.3,101.3,146,54.7,"2013","San Francisco Bay Area"
"454",202,"South Bay",10.9,141.5,0,152.4,20.9,1020.3,0.3,"2013","San Francisco Bay Area"
"455",301,"Northern",618.3,105.2,0,723.5,651.8,127.5,0.4,"2013","Central Coast"
"456",302,"Southern",578.7,78.7,0,657.4,602.4,145.2,0,"2013","Central Coast"
"457",401,"Santa Clara",396.6,63.8,0,460.4,425.6,263.1,0,"2013","Southern California"
"458",402,"Metropolitan LA",3.8,544.1,0,547.9,7.1,1466.4,25.6,"2013","Southern California"
"459",403,"Santa Ana",205.6,544.3,0.2,750.1,219.1,1227.1,6.1,"2013","Southern California"
"460",404,"San Diego",36.7,29.3,0,66,333.1,774.3,0,"2013","Southern California"
"461",501,"Shasta - Pit",77.9,11.6,0.7,90.2,297.7,14,12.8,"2013","Sacramento River Region"
"462",502,"Upper Northwest Valley",0.9,0.4,0,1.3,9.6,0.6,0,"2013","Sacramento River Region"
"463",503,"Lower Northwest Valley",327,28.3,0,355.3,575.5,40.3,0.7,"2013","Sacramento River Region"
"464",504,"Northeast Valley",226,34.3,0,260.3,330.4,70.4,1,"2013","Sacramento River Region"
"465",505,"Southwest",59,4.9,0,63.9,76,11.6,0,"2013","Sacramento River Region"
"466",506,"Colusa Basin",567.1,10.8,8.5,586.4,2142.5,11.1,147.2,"2013","Sacramento River Region"
"467",507,"Butte - Sutter - Yuba",557.1,42.7,6.6,606.4,2223.9,63.3,288.5,"2013","Sacramento River Region"
"468",508,"Southeast",22.4,20,0,42.4,277.5,108,0.4,"2013","Sacramento River Region"
"469",509,"Central Basin West",360.2,50.4,0,410.6,721.4,69.3,0,"2013","Sacramento River Region"
"470",510,"Sacramento Delta",33.8,2,0,35.8,435.1,26.2,48.8,"2013","Delta Region"
"471",511,"Central Basin East",183.4,158.5,0.5,342.4,385.1,438.4,2.1,"2013","Sacramento River Region"
"472",601,"Upper West Side Uplands",1.1,1.7,0,2.8,20.1,61.1,0,"2013","San Joaquin Valley"
"473",602,"San Joaquin Delta",0,35.8,0,35.8,607.9,115.1,2.6,"2013","Delta Region"
"474",603,"Eastern Valley Floor",686.4,36.5,0,722.9,909.5,96.6,16.8,"2013","Delta Eastside Tributaries"
"475",604,"Sierra Foothills",6.3,9.8,0,16.1,33.8,50.7,0,"2013","Delta Eastside Tributaries"
"476",605,"West Side Uplands",0,0,0,0,0,1.1,0,"2013","San Joaquin Valley"
"477",606,"Valley West Side",518.6,21.9,205.5,746,1602.6,24.7,456,"2013","San Joaquin Valley"
"478",607,"Upper Valley East Side",157.3,83.6,4.3,245.2,933,132.6,12.7,"2013","San Joaquin Valley"
"479",608,"Middle Valley East Side",429.6,51.6,0,481.2,1049.8,51.6,0,"2013","San Joaquin Valley"
"480",609,"Lower Valley East Side",1496.6,80.9,12.7,1590.2,2184.2,81.1,45.3,"2013","San Joaquin Valley"
"481",610,"East Side Uplands",4.1,10.4,0,14.5,4.1,11,0,"2013","San Joaquin Valley"
"482",701,"Western Uplands",0,1.5,0,1.5,0,1.5,0,"2013","San Joaquin Valley"
"483",702,"San Luis West Side",1043.2,3.2,0,1046.4,1585.2,12.1,0,"2013","San Joaquin Valley"
"484",703,"Lower Kings-Tulare",1927,35.8,1.6,1964.4,2161.4,35.9,30.3,"2013","San Joaquin Valley"
"485",704,"Fresno - Academy",351.7,155.3,0,507,643.5,188.8,0,"2013","San Joaquin Valley"
"486",705,"Alta - Orange Cove",837,44.8,0,881.8,1063.7,46.4,0,"2013","San Joaquin Valley"
"487",706,"Kaweah Delta",2194.3,87.8,3.5,2285.6,2613.3,91.8,3.5,"2013","San Joaquin Valley"
"488",707,"Uplands",12.2,9.2,0,21.4,14.3,13.5,0,"2013","San Joaquin Valley"
"489",708,"Semitropic - Buena Vista",829.1,15.5,36.2,880.8,1173.2,21.5,59.9,"2013","San Joaquin Valley"
"490",709,"Kern Valley Floor",677.2,26.9,0,704.1,961.2,31.1,0,"2013","San Joaquin Valley"
"491",710,"Kern Delta",1033.8,83.3,0,1117.1,1368.9,141.8,0,"2013","San Joaquin Valley"
"492",801,"Lassen",65.2,9.1,7.2,81.5,218.3,9.1,17.1,"2013",NA
"493",802,"Alpine",2.4,16.6,0,19,104.2,22.3,0,"2013",NA
"494",901,"Mono-Owens",167.6,10.5,0,178.1,206.5,11.6,0,"2013","Southern California"
"495",902,"Indian Wells",15.8,14.7,0,30.5,15.8,15,0,"2013","Southern California"
"496",903,"Death Valley",15.6,4,0,19.6,15.6,4,0,"2013","Southern California"
"497",904,"Antelope Valley",63.5,19.2,0,82.7,87.5,94.2,0,"2013","Southern California"
"498",905,"Mojave River",95.6,89.5,0,185.1,112.9,102,0,"2013","Southern California"
"499",1001,"Twenty-Nine Palms - Lanfair",15.4,13.4,0,28.8,15.4,16.4,0,"2013","Southern California"
"500",1002,"Coachella",20,133,0,153,393.1,226,0,"2013","Southern California"
"501",1003,"Chuckwalla",3.9,1.8,0,5.7,3.9,1.9,0,"2013","Southern California"
"502",1004,"Colorado River",0,11.8,0,11.8,848,12.9,0,"2013","Southern California"
"503",1005,"Borrego",18.3,4.4,0,22.7,55.4,7.3,0,"2013","Southern California"
"504",1006,"Imperial Valley",0,0.1,0,0.1,2906,59.3,30.3,"2013","Southern California"
"505",101,"Upper Klamath",154.4,5.5,0.6,160.5,457.2,9.6,94.4,"2014",NA
"506",102,"Lower Klamath",29.1,7.3,0,36.4,36.5,10,0,"2014",NA
"507",103,"Coastal",94.9,16.5,0,111.4,106,23.8,0,"2014",NA
"508",104,"Russian River",89.8,30.6,0,120.4,136.8,92.5,0,"2014",NA
"509",201,"North Bay",61.1,14.4,0,75.5,114.8,129.7,56.8,"2014","San Francisco Bay Area"
"510",202,"South Bay",10.1,188.4,0,198.5,18.7,992.3,0.4,"2014","San Francisco Bay Area"
"511",301,"Northern",591.3,105.7,0,697,618,122.5,0.4,"2014","Central Coast"
"512",302,"Southern",620.8,85.5,0,706.3,642.3,141.7,0,"2014","Central Coast"
"513",401,"Santa Clara",460.1,100.8,0,560.9,472.8,269.6,0,"2014","Southern California"
"514",402,"Metropolitan LA",4.1,629,0,633.1,8.5,1521.6,27.9,"2014","Southern California"
"515",403,"Santa Ana",212,514,0.2,726.2,223.2,1162.2,6.1,"2014","Southern California"
"516",404,"San Diego",33,33.1,0,66.1,354.2,809.8,0,"2014","Southern California"
"517",501,"Shasta - Pit",80.9,10.2,0.7,91.8,310.4,13.2,16.9,"2014","Sacramento River Region"
"518",502,"Upper Northwest Valley",0.7,0.2,0,0.9,4.6,0.7,0,"2014","Sacramento River Region"
"519",503,"Lower Northwest Valley",332.4,22.7,0,355.1,501.1,33.3,0.9,"2014","Sacramento River Region"
"520",504,"Northeast Valley",216.8,34.4,0,251.2,317.2,64.9,1.1,"2014","Sacramento River Region"
"521",505,"Southwest",59.1,4.4,0,63.5,72.9,10.4,0,"2014","Sacramento River Region"
"522",506,"Colusa Basin",534.1,10.8,9,553.9,1603.6,11.1,141.9,"2014","Sacramento River Region"
"523",507,"Butte - Sutter - Yuba",619.5,39.5,8.9,667.9,2130.1,59.3,304.8,"2014","Sacramento River Region"
"524",508,"Southeast",21.7,17.7,0,39.4,281.7,99.8,0.4,"2014","Sacramento River Region"
"525",509,"Central Basin West",348.2,42.6,0,390.8,709.4,59,0,"2014","Sacramento River Region"
"526",510,"Sacramento Delta",72.2,7.7,0,79.9,482.4,25.3,50.2,"2014","Delta Region"
"527",511,"Central Basin East",184.4,155.9,0.5,340.8,339.1,376.2,2.1,"2014","Sacramento River Region"
"528",601,"Upper West Side Uplands",1.2,2.7,0,3.9,22.3,58.3,0,"2014","San Joaquin Valley"
"529",602,"San Joaquin Delta",0,35,0,35,623.1,108,2.6,"2014","Delta Region"
"530",603,"Eastern Valley Floor",769.1,45.9,0,815,963.9,112.4,17.4,"2014","Delta Eastside Tributaries"
"531",604,"Sierra Foothills",9.9,8.8,0,18.7,35.8,42.2,0,"2014","Delta Eastside Tributaries"
"532",605,"West Side Uplands",0,0,0,0,0,0.7,0,"2014","San Joaquin Valley"
"533",606,"Valley West Side",765.5,20.9,305.2,1091.6,1512.8,23.2,456.1,"2014","San Joaquin Valley"
"534",607,"Upper Valley East Side",272.6,76,0,348.6,888,115.9,12.8,"2014","San Joaquin Valley"
"535",608,"Middle Valley East Side",583.4,48.9,0,632.3,1061,48.9,0,"2014","San Joaquin Valley"
"536",609,"Lower Valley East Side",1779.3,77.2,19,1875.5,2179.1,77.3,46.3,"2014","San Joaquin Valley"
"537",610,"East Side Uplands",4.7,9.9,0,14.6,4.7,10.5,0,"2014","San Joaquin Valley"
"538",701,"Western Uplands",0,1.4,0,1.4,0,1.4,0,"2014","San Joaquin Valley"
"539",702,"San Luis West Side",1157.1,3,0,1160.1,1441.6,10.9,0,"2014","San Joaquin Valley"
